C,CPP,Java,Python,Ruby,R
297.8565,343.6247,767.9927,3168.9481,8040.927,1564.7624
301.7325,309.3839,773.784,3180.7752,8035.5762,1885.268
303.5859,309.4727,738.747,3150.1471,8111.6105,1726.8995
1112.6576,311.7266,763.9529,3157.0087,8037.094,1807.7338
313.0834,597.4898,749.9479,3168.9214,8048.5557,1566.2319
311.8947,291.6347,756.5349,3166.2609,8036.7269,1728.7003
309.5123,302.394,751.1525,3170.3376,8044.7046,2627.8465
318.4203,297.1457,745.5466,3181.1703,8033.407,1665.0477
308.4254,296.4477,776.462,3164.5122,8039.825,1672.0101
318.6618,299.6791,773.3709,3160.7448,8051.1847,1974.6902
309.2339,293.8256,738.0114,3178.7071,8025.6992,1807.0528
306.7497,293.7365,747.4139,3169.7215,8043.6816,1793.6584
1387.7294,301.0139,776.3685,3176.6112,8048.9018,1764.4099
310.7675,593.6278,770.3431,3161.6117,8047.3,1820.3685
309.2353,298.0267,777.8142,3159.0345,8051.6712,1833.7366
305.5642,296.7975,767.0173,3169.0982,8058.9305,2556.4338
311.2333,296.9731,770.7909,3164.5373,8061.2186,1598.843
310.5466,296.9359,763.4081,3167.8748,8059.5858,1663.9857
321.3883,301.6603,736.4823,3187.8043,8043.9887,1808.9848
307.4741,295.0395,758.7771,3156.5122,8033.9273,1744.3739
292.8419,301.6702,794.045,3165.3259,8037.1473,1586.0021
1434.1347,296.2978,752.3589,3159.0817,8057.6614,1797.8144
296.8875,574.994,763.6777,3151.0288,8036.7029,1667.5915
305.1656,299.9911,758.4578,3156.4021,8026.9505,1849.3656
295.3032,296.6431,766.6227,3153.2106,8055.1652,2439.3231
297.2994,293.169,793.4051,3168.3575,8043.3698,1788.7047
296.9771,296.7785,779.0353,3172.5071,8046.6529,1584.8442
295.4324,293.3774,782.3095,3158.4213,8040.9237,1944.3372
296.8944,300.4321,778.1511,3169.3869,8062.2208,1830.7641
296.1074,298.4381,794.5826,3196.421,8049.8114,1655.8195
1114.264,296.212,769.4278,3188.0816,8058.3827,1661.876
303.6581,579.9278,808.932,5628.4379,8859.1692,1975.7726
661.3802,692.9667,1111.9303,6275.6457,13540.3014,3977.5804
613.0402,589.6949,872.4437,6840.1298,10766.0839,2029.7297
625.823,615.324,1496.7987,6744.6599,17941.2764,3278.6873
638.5089,618.5946,1497.4349,7295.7604,18302.7138,3299.4816
1722.9466,914.1417,1538.7634,7231.0165,18392.0075,3315.3337
665.7889,631.3225,1610.4459,7305.1819,18951.739,4237.5938
669.4732,611.6031,1548.0071,7051.222,18518.6185,3338.5197
658.4794,669.8385,1539.6868,3201.5262,11376.5592,3519.1593
335.5681,302.3919,780.6979,3198.487,8072.659,1575.8834
1150.6341,574.5627,737.5392,3178.3836,8051.0169,1580.9984
316.7645,298.9162,791.4594,3157.904,8046.483,1531.8046
316.8983,311.4404,763.3892,3162.6972,8067.5114,2550.2582
313.2346,299.3743,777.2024,3165.5561,8051.5884,1688.3023
317.9007,302.979,755.5242,3184.2708,8056.0633,1560.1704
326.4412,313.626,726.8709,3169.5561,8040.6851,1652.8785
314.043,299.5577,722.6873,3148.3687,8053.3608,1604.2234
314.3087,298.2709,743.9218,3236.4796,8268.4451,1545.4156
578.1666,308.1662,751.3478,3171.2034,8040.1797,1541.6211
296.4769,645.226,804.8434,3145.9106,8052.6318,1596.7491
295.3076,294.8639,750.9022,3181.7501,8054.7216,2504.4595
301.5649,292.8786,785.8283,3165.5304,8053.3799,1543.4727
297.0056,299.0964,802.6303,3155.0024,8053.6751,1601.9242
297.5699,298.3213,760.457,3149.6636,8058.8556,1546.2627
301.9069,295.7786,781.8876,3183.5589,8042.814,1729.1816
296.32,302.4451,779.7245,3185.3127,8049.9894,1616.6902
299.842,327.7143,765.1704,3167.8967,8046.8147,1637.4893
1453.7546,292.6173,800.7619,3161.7405,8034.0158,1635.472
294.6311,587.0421,790.7746,3175.1999,8050.1556,1743.3789
296.637,297.5971,793.9466,3158.6752,8038.8391,2454.0323
294.1917,300.6299,758.3395,3178.299,8039.3125,1555.8088
297.2634,297.617,765.4925,3149.5301,8051.3184,1540.44
293.2372,303.6312,778.5409,3198.5752,8068.6421,1584.9629
314.282,294.1233,767.3505,3160.7045,8059.3605,1812.8871
637.9824,722.047,1640.4712,6978.0848,9951.2793,3281.7339
951.2516,615.6945,1535.3089,6979.7054,18515.4824,3219.3472
686.6756,874.0438,1558.8394,6950.1245,18436.7642,4235.2555
717.4124,628.1314,1532.804,7023.6519,18048.7832,3421.6489
446.5874,600.2889,1474.9985,4578.928,17025.4353,2207.0357
466.2304,452.6557,1357.0062,5732.5217,12358.7709,2408.1296
1618.6619,526.0976,1743.6527,4685.0239,13580.6396,2987.4127
580.2423,702.1226,1310.5621,5338.7894,11704.1146,3311.9593
638.9619,559.4993,1638.3692,7085.0804,17687.3209,3204.7578
497.3386,421.5798,1387.7602,4654.1488,12576.5542,2298.908
699.2714,400.8591,940.1573,7324.4261,13811.6135,3300.4948
1508.4261,674.6846,1572.8104,6890.4117,18703.4127,3502.4674
723.7521,752.771,1481.2463,7449.7699,17294.4163,3803.8751
698.8395,669.0527,1638.7391,7516.2558,18358.6306,3561.123
687.7847,669.5564,1700.7686,7557.8698,18184.6715,3591.9617
527.4095,781.1515,1808.2735,7308.9802,12250.7452,3995.074
610.6841,308.3939,977.3623,3431.1426,8606.8972,1862.9913
315.3309,593.9324,840.7864,3451.2712,8934.1776,1688.0834
302.1838,328.0931,855.7256,3123.2717,8526.0661,2500.4942
302.2872,328.5928,839.5727,3247.5214,8634.095,1608.7908
328.285,304.2249,812.4262,3190.7411,8389.5788,1688.0737
302.1574,328.3577,856.2654,3263.3969,8591.2008,1672.1031
298.6714,406.0948,871.3266,3216.6623,8434.5283,1641.9443
489.4333,320.8034,858.2661,3258.1667,8085.0783,1656.9931
296.8499,302.4248,765.7735,3163.4695,8046.835,1547.5657
1108.6495,300.451,783.4913,3230.0057,8036.268,1559.9216
294.8415,580.7022,792.5732,3181.7078,8111.4214,1532.4525
300.3139,295.5512,752.5802,3148.3931,8043.0141,2404.533
315.0583,301.8335,787.7081,3211.2388,8081.4512,1586.6407
298.797,300.2045,833.6024,3150.4403,8063.0787,1626.2781
297.7503,302.3879,761.7805,3166.7266,8035.2332,1836.1725
296.0733,312.419,764.175,3160.1992,8054.1299,1626.3792
296.6527,326.9229,762.5499,3149.4836,8061.3996,1537.2706
293.6385,308.1798,764.0594,3158.4263,8056.089,1548.3181
