C,C++ ,Java,Python,Ruby,R
226.974996,226.358338,525.026879,4860.004786,9953.601036,724.966579
238.755234,265.295132,529.191254,4913.141147,9970.355628,726.769863
237.668492,266.521854,521.365111,4869.440006,9970.505013,727.436837
222.075444,226.418108,526.531519,4884.25487,9908.535425,728.622547
226.575203,226.827304,533.813904,4847.352119,9981.022629,779.97683
226.162931,226.358556,535.661874,4926.744046,9904.152986,755.770533
226.998713,238.999109,532.570186,4864.288417,10003.47041,770.917499
226.315364,226.333165,533.774361,4864.778566,10123.45968,726.643483
226.428204,227.035295,525.238272,4832.113021,9988.073186,727.636767
265.188678,280.252587,525.20653,4872.74153,9982.94559,735.778898
226.510449,226.677203,527.853937,4963.378407,10031.74661,728.820642
226.338125,226.599969,531.465511,4890.50835,10119.86689,742.882972
230.387637,227.085402,527.434445,4876.704515,10076.0736,722.046072
268.819675,222.294727,539.72106,4880.676497,9937.392052,725.988611
222.44315,226.230092,527.286351,4857.430258,9971.145736,730.250186
226.26637,226.348429,528.233615,4868.549064,9976.456623,737.957346
226.483359,227.109316,537.84968,4854.84529,10104.76576,726.898675
226.190849,230.126944,527.028151,4861.626221,10174.99524,728.243109
227.000239,222.06165,534.108285,4853.003555,9932.209434,727.445078
226.525467,226.479116,533.638458,4890.769427,9903.718865,729.287356
223.21115,254.769589,535.165935,4851.799727,10336.46178,727.847986
